filename,title,description,altText,location,category,Sub-category
Austria 27,Stories in Stone ,"Taking a quiet moment to admire the incredibly detailed wrought-iron work and vibrant blooms that bring colour to these ancient, historic gravesites. ","A ground-level shot of beautiful, manicured graves with red flowers and detailed black wrought-iron crosses, backed by stone arches and a large tree. ",,Salzburg ,St. Peter's Cemetery & Catacombs 
Austria 28,Into the Catacombs ,"Climbing the narrow, atmospheric stone steps carved directly into the mountain to explore Salzburg's ancient, early-Christian hermit cells. ","A dimly lit, narrow stone staircase with wooden handrails leading upward through a rough rock tunnel towards an arched doorway with natural light.",,Salzburg ,St. Peter's Cemetery & Catacombs 
Austria 29,Views from the Rock Face ,"Peering through a rustic, hand-carved stone window in the cliffside catacombs for a perfectly framed view of Salzburg Cathedral's turquoise domes.","A vertical shot framing the Salzburg Cathedral towers and green domes through a dark, rough-hewn stone window opening under a blue sky with white clouds. ",,Salzburg ,St. Peter's Cemetery & Catacombs 
Austria 30,Rock-Hewn Chapels ,"Stepping inside the atmospheric, candlelit chapels of the St Peter's catacombs, entirely carved by hand into the side of the mountain. ","An underground stone chapel interior featuring a small, historic altar with white cloth and candles, alongside a central stone pillar and curved wall niches. ",,Salzburg ,St. Peter's Cemetery & Catacombs 
Austria 31,Baroque Splendour ,"Marveling at the breathtaking, ornate gold detailing and monumental altarpieces inside Salzburg's historic St Peter's Abbey. ","The grand interior of a Baroque church, showcasing white and turquoise walls filled with intricate gold decorations, towering altars, and religious statues. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 32,Sculpted Entrances ,"Admiring the stunningly detailed, heavy bronze doors that guard the entrances to the city's ancient sacred spaces. ","A close-up shot of a pair of large, dark weathered bronze doors featuring intricate relief sculptures of tall wild plants and flowers, set within a stone archway. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 33,Grand Courtyards ,"Exploring the sweeping, multi-storey courtyards of Salzburg's historic university buildings, complete with a central stone fountain. ","A wide view of a grand white European courtyard building with rows of windows, a painted sundial above an archway, and a tall green church spire in the background. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 34,Old Town Lanes ,"Strolling through the bustling, narrow shopping streets of the historic centre, framed perfectly by hanging signs and distant clock towers. ","A vertical view looking down a narrow, crowded European shopping street flanked by pastel-coloured buildings, leading towards a white clock tower with a green dome. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 35,At Mozart's Residence ,"Stepping through the historic stone archway of the Mozart Wohnhaus, where the musical genius lived and composed for many years. ","A close-up vertical shot of a grand stone archway with a heavy wooden door, topped by a sign reading ""MOZART WOHNHAUS"" beneath a window with grey shutters. ",,Salzburg ,Old Town Architecture & Landmarks 
,,,,,,
Austria 37,Lakeside Marina Life ,"Strolling along the wooden jetties of Seewalchen am Attersee, where scores of white sailboats sit moored on the tranquil, clear waters of Lake Attersee. ","A bustling marina filled with numerous yachts and sailboats docked along wooden piers, with lakeside houses, green hills, and mountains visible in the background under a blue sky. ",,The Wider Country ,Lake Attersee 
Austria 38,Over the Shoreline ,"Looking back from the water at the picturesque market town of Seewalchen, its charming houses and church spire nestled perfectly amongst lush green trees on the northern shore of Lake Attersee. ","A wide lakeside view of a town shoreline with green trees, waterfront buildings, a high diving platform, and a distant church tower under a sky filled with fluffy white clouds. ",,The Wider Country ,Lake Attersee 
Austria 39,Crystal-Clear Shallows ,"Watching a small flock of ducks paddle and rest in the remarkably translucent, turquoise waters that make Lake Attersee a favorite summer retreat. ","A group of mallard ducks swimming and standing on submerged rocky shallows in remarkably clear, light-blue water next to a rocky shoreline. ",,The Wider Country ,Lake Attersee 
Austria 40,Schloss Frohnburg Elegance ,"Admiring the historic front of Schloss Frohnburg, a stunning seventeenth-century early-Baroque country mansion that sits beautifully along Salzburg's elegant Hellbrunner Allee. ","A symmetrical front view of the three-storey yellow Schloss Frohnburg palace with its red-tiled roof, framed by large green trees on a gravel courtyard under a blue sky. ",,The Wider Country ,Lake Attersee 
Austria 41,Summer Days by Attersee ,"Relaxing under the cool canopy of a shaded lakeside park in Seewalchen am Attersee, where locals and travellers alike soak up the sun right on the edge of the turquoise water. ","A sun-dappled green lawn at a park beside a light blue lake, with people sunbathing and sitting on blankets under the shade of large, leafy green trees. ",,The Wider Country ,Lake Attersee 
Austria 42,Waldviertel Woodlands ,"Hiking through the tranquil pine forests of the Zwettl valley, where massive, moss-covered granite boulders emerge from the lush green undergrowth. ","A dense forest scene with tall, textured pine tree trunks rising from a vibrant green floor of low shrubs, featuring a large moss-covered boulder in the middle ground. ",,The Wider Country ,Forests & Trails 
Austria 43,Hidden Fungus ,"Foraging for the smaller details along the damp forest paths near Groß Gerungs, where wild mushrooms thrive in the rich soil. ","A close-up shot of a single brown mushroom with a textured cap, growing amidst small green leafy plants on a mossy forest floor with tree trunks blurred in the background. ",,The Wider Country ,Forests & Trails 
Austria 44,Rural Borders ,Watching the deep green pine forests meet the golden fringes of a summer meadow under a brilliant blue sky. ,"A wide view of a golden wheat field in the foreground, bordered by a line of tall, pointed green pine trees under a blue sky with soft white clouds. ",,The Wider Country ,Forests & Trails 
Austria 45,Clustered Wildflowers ,Discovering intricate clusters of pale wild fungi sprouting from ancient tree roots along the quiet valley trails. ,"A tight cluster of small, pale-yellow mushrooms growing tightly together out of a mossy, bark-covered tree root on the ground. ",,The Wider Country ,Forests & Trails 
Austria 46,The Klauskapelle ,"Stumbling upon the enchanting Klauskapelle, a historic wooden forest chapel hidden in a sun-dappled glade within the peaceful Zwettl valley. ","A small, dark-wooden forest chapel with a green panelled porch and a tiny steeple, sitting in a sun-dappled grassy clearing surrounded by tall pine trees under a blue sky. ",,The Wider Country ,Forests & Trails 
Austria 47,Sun-Drenched Glades ,"Catching a brilliant burst of afternoon sunlight piercing through the dense forest canopy, illuminating the mossy stone trails of the Zwettl valley. ","A vertical shot inside a dense forest, with a powerful sunburst streaming through the leaves of tall trees, lighting up large moss-covered boulders on the forest floor. ",,The Wider Country ,Forests & Trails 
Austria 48,Ringstraße Roseries ,"Looking past the vibrant, blooming rose gardens of the Volksgarten to capture the monumental Neo-Gothic spires of Vienna's City Hall (Rathaus). ",A vertical shot framing the tall central tower of Vienna City Hall behind a dense bush of pink and red roses under a clear blue sky. ,,Vienna ,Imperial Palaces & Gardens 
Austria 49,Imperial Grandeur at Belvedere ,"Strolling the gravel pathways of the Upper Belvedere Palace, a breathtaking Baroque masterpiece that perfectly defines Vienna's imperial history. ","A wide, symmetrical front view of the Upper Belvedere Palace with its grand white facade and green copper roofs, fronted by a wide gravel path and manicured hedges. ",,Vienna ,Imperial Palaces & Gardens 
Austria 50,Historic Shopping Arcades ,"Discovering the quiet charm of the Ferstel Passage, a stunning, vaulted nineteenth-century arcade perfect for a morning coffee stop. ","A view down an elegant, covered shopping arcade with high arched stone ceilings, glass skylights, decorative iron lamps, and small café tables. ",,Vienna ,City Centre Landmarks 
Austria 51,Gilded Portal Details ,"Pausing to admire the incredible craftsmanship of Vienna's historic streetscapes, where deep green doors meet intricate gold detailing and stone sculptures. ","A vertical close-up shot of an ornate, dark green arched door decorated with heavy gold filigree, set beneath a detailed stone coat of arms and cherub statues. ",,Vienna ,City Centre Landmarks 
Austria 52,Blooms and Domes ,"Admiring the grand dome of the Kunsthistorisches Museum rising majestically beyond the dense, manicured rows of vibrant red summer roses. ","A horizontal view of a thick bed of red rose bushes in full bloom, with the large, dark dome of a historic Viennese museum visible in the background under a blue sky.",,Vienna ,Imperial Palaces & Gardens 
Austria 53,Baroque Masterpieces ,"Looking straight up at the breathtaking, frescoed ceilings of the Marble Hall within the Upper Belvedere Palace, where a monumental crystal chandelier takes centre stage. ","A low-angle shot looking directly up at a massive, lit crystal chandelier hanging from a highly ornate, vaulted ceiling featuring detailed Baroque frescoes of figures in a blue sky. ",,Vienna ,Imperial Palaces & Gardens 
Austria 54,Grand Imperial Halls ,"Taking in the sheer scale and architectural splendour of the Upper Belvedere's historic reception rooms, surrounded by marble pilasters and shimmering crystal. ","A wide view of a grand palace room with rich brown marble walls, gilded gold accents, multiple glowing crystal chandeliers, and a masterfully painted fresco on the ceiling. ",,Vienna ,Imperial Palaces & Gardens 
Austria 55,Standing Before The Kiss ,"A mesmerizing encounter with Gustav Klimt's iconic masterpiece, The Kiss, proudly displayed within the permanent collection at the Belvedere Museum. ","A straight-on shot of Gustav Klimt's famous painting, The Kiss, depicting a couple entwined in a gold-leaf cloak on a bed of wild flowers, framed on a dark wall. ",,Vienna ,Imperial Palaces & Gardens 
Austria 56,High-Summer Fountains ,"Watching the magnificent Hochstrahlbrunnen fountain blast refreshing glacial spray into the sky at Schwarzenbergplatz on a glorious, clear blue day. ","A wide shot of a massive, powerful water fountain shooting high into the air from a stone-laden basin, with elegant white European buildings in the background under a blue sky. ",,Vienna ,City Centre Landmarks 
Austria 57,Literary Labyrinths ,Wandering past floor-to-ceiling wooden bookshelves and historic rolling ladders in one of the world's most spectacular Baroque libraries. ,"A close-up shot of towering wooden bookshelves packed with antique leather-bound books, featuring a wooden rolling ladder and a stone bust in a circular alcove. ",,Vienna ,Imperial Libraries 
Austria 58,Double-Storey Details ,"Admiring the grand, multi-tiered wooden shelving structures numbered in elegant gold leaf that house centuries of human knowledge. ","A vertical shot of a massive wooden bookcase with a gallery balcony on the upper level, complete with an antique wooden ladder leaning against the lower shelves. ",,Vienna ,Imperial Libraries 
Austria 59,Columns and Canopies ,"Looking through the monumental marble pillars of the State Hall as they draw the eye up toward the sprawling, colourful frescoes above. ","A wide view inside a grand Baroque library featuring massive marble columns that support a vaulted ceiling adorned with elaborate, historic paintings. ",,Vienna ,Imperial Libraries 
Austria 60,Whispers of the Past ,"Taking in the dramatic architecture of the library wing, where golden light accentuates the sweeping curves of the vaulted, frescoed ceiling. ","A low-angle shot looking across the upper galleries of a historic library, showcasing symmetric wooden book stacks beneath a grand, arched, painted ceiling. ",,Vienna ,Imperial Libraries 
Austria 61,Mapping History,"Spotting magnificent, hand-painted antique globes that sit perfectly alongside rows of ancient, leather-bound manuscripts. ","A close-up vertical shot of a large, historic terrestrial globe on an ornate stand, positioned in front of towering, curved wooden bookshelves filled with old books. ",,Vienna ,Imperial Libraries 
Austria 62,The Emperor's Hall ,"Standing beneath the soaring central dome of the library, dominated by the magnificent marble statue of Emperor Charles VI. ","A dramatic vertical shot of a white marble statue of an emperor in classical attire, positioned directly beneath a grand library dome covered in vibrant Baroque frescoes. ",,Vienna ,Imperial Libraries 
Austria 63,Grand Coffee House Mornings ,"Stepping beneath the soaring, vaulted ceilings and marble pillars of Café Central to experience the very heart of Vienna's historic coffee house culture. ","A view inside a grand, high-ceilinged historic café with massive stone columns and elegant chandeliers, featuring a glass display case filled with cakes and pastries in the foreground. ",,Vienna ,Viennese Café Culture 
Austria 64,Viennese Patisserie Perfection ,"Indulging in a masterfully crafted passion fruit and chocolate dessert, served up with classic style at the legendary Café Central. ","A close-up shot of a round chocolate and bright yellow passion fruit dessert topped with a single blueberry, sitting on a white plate next to a fork and a Café Central napkin. ",,Vienna ,Viennese Café Culture 
Austria 65,Colourful Expressions at Hundertwasserhaus ,"Admiring the whimsical, uneven lines and vibrant, patchwork facades of the famous Hundertwasserhaus, where nature and architecture blend seamlessly. ","A low-angle shot of the eccentric Hundertwasserhaus apartment building, showing its brightly coloured, uneven walls in pink, blue, and grey, adorned with small balconies and climbing ivy. ",,Vienna ,City Centre Landmarks 
Austria 66,Living Architecture ,Exploring the fairy-tale streets of Vienna to find buildings enveloped in lush greenery and crowned with rooftop forests. ,"A street-level view looking up at a unique apartment building covered in thick green trees and ivy, featuring an integrated glass lift tower and wavy architectural lines under a clear sky. ",,Vienna ,City Centre Landmarks 
Austria 67,Historic Facades ,"Gazing up at the imposing, palatial nineteenth-century stone exterior that welcomes coffee lovers to the entrance of Café Central. ","A low-angle shot looking up at the grand, sandy-coloured stone facade of a neo-Renaissance building, featuring large arched windows, stone statues, and a sign reading ""CAFE CENTRAL"". ",,Vienna ,Viennese Café Culture 
Austria 68,The Sweetest Dilemma ,"Standing before a mesmerizing display of pristine, colourful tarts, layered gateaux, and vegan delicacies inside Vienna's most celebrated patisserie. ","A glass display counter inside a bakery packed with neat rows of diverse pastries, including chocolate slices, yellow glazed mousses, and raspberry-topped cream cakes with price tags. ",,Vienna ,Viennese Café Culture 
